id,handle,followers_count,friends_count,isProxy
0,"andersoncooper",9890887,318,0
1,"boschmann",12378,565,0
2,"Klitschko",808527,313,0
3,"damitdasklaas",1864013,952,0
4,"OlafScholz",607155,1423,0
5,"Icke41",109218,4274,0
6,"officiallyjoko",2133043,862,0
7,"ToniKroos",11083798,177,0
8,"Makeiev",38449,542,0
9,"EsumePatrick",105754,230,0
10,"Vitaliy_Klychko",630794,60,0
11,"BjoernWerner",51332,321,0
12,"dunjahayali",551894,708,0
13,"CSpengemann",18018,186,0
14,"FrankBuschmann",287164,617,0
15,"EmmanuelMacron",8868660,719,0
16,"michellesova1",38,18,0
17,"reelehr",22,37,0
18,"stevengaetjen",40001,265,0
19,"gepardtatze",52858,1192,0
20,"ChiefsKingdomDE",1678,257,0
21,"XFLGermany",705,100,0
22,"winkelsdorf",40013,671,0
23,"ZelenskyyUa",6921738,1,0
24,"annidriver",1,11,0
25,"stecker_jan",25724,106,0
26,"RomanMotzkus",28064,442,0
27,"DrJoeWeingarten",1658,1087,0
28,"FrankFruehauf68",240,128,0
29,"DrBiden",3879814,22,0
30,"Der_Journalist",759,188,0
31,"55743Feuerwache",56,8,0